wl,n,k
0.1879,1.,0.
0.1916,1.,0.
0.1953,1.,0.
0.1993,1.,0.
0.2033,1.,0.
0.2073,1.,0.
0.2119,1.,0.
0.2164,1.,0.
0.2214,1.,0.
0.2262,1.,0.
0.2313,1.,0.
0.2371,1.,0.
0.2426,1.,0.
0.2490,1.,0.
0.2551,1.,0.
0.2616,1.,0.
0.2689,1.,0.
0.2761,1.,0.
0.2844,1.,0.
0.2924,1.,0.
0.3009,1.,0.
0.3107,1.,0.
0.3204,1.,0.
0.3315,1.,0.
0.3425,1.,0.
0.3542,1.,0.
0.3679,1.,0.
0.3815,1.,0.
0.3974,1.,0.
0.4133,1.,0.
0.4305,1.,0.
0.4509,1.,0.
0.4714,1.,0.
0.4959,1.,0.
0.5209,1.,0.
0.5486,1.,0.
0.5821,1.,0.
0.6168,1.,0.
0.6595,1.,0.
0.7045,1.,0.
0.7560,1.,0.
0.8211,1.,0.
0.8920,1.,0.
0.9840,1.,0.
1.0880,1.,0.
1.2160,1.,0.
1.3930,1.,0.
1.6100,1.,0.
1.9370,1.,0.
